Taxa	Genotype	Country	Date
PP123766.1	HBV-A	South Africa	2023
PP123765.1	HBV-A	South Africa	2023
PP123764.1	HBV-A	South Africa	2023
PP123763.1	HBV-A	South Africa	2023
PP123762.1	HBV-A	South Africa	2023
PP123761.1	HBV-A	South Africa	2023
PP123760.1	HBV-A	South Africa	2023
PP123759.1	HBV-A	South Africa	2023
PP123758.1	HBV-A	South Africa	2023
PP123757.1	HBV-D	South Africa	2023
PP123756.1	HBV-A	South Africa	2023
PP123755.1	HBV-A	South Africa	2023
PP116459.1	HBV-A	Brazil	2019
PP116458.1	HBV-A	Brazil	2019
PP116457.1	HBV-A	Brazil	2019
PP116456.1	HBV-A	Brazil	2019
PP116455.1	HBV-F	Brazil	2019
PP116454.1	HBV-E	Brazil	2019
PP116453.1	HBV-F	Brazil	2019
OZ222034.1	HBV-A	Uganda	2011
OZ222033.1	HBV-A	Uganda	2011
OZ222032.1	HBV-A	Uganda	2023
OZ222031.1	HBV-A	Uganda	2023
OZ222030.1	HBV-A	Uganda	2011
OZ222029.1	HBV-A	Uganda	2023
OZ222028.1	HBV-A	Uganda	2011
OZ222027.1	HBV-A	Uganda	2023
OZ222026.1	HBV-A	Uganda	2011
OZ222025.1	HBV-A	Uganda	2011
OZ222024.1	HBV-A	Uganda	2023
OZ222023.1	HBV-A	Uganda	2023
OZ222022.1	HBV-A	Uganda	2023
OZ222021.1	HBV-A	Uganda	2023
OZ222020.1	HBV-A	Uganda	2023
OZ222019.1	HBV-A	Uganda	2011
OZ222018.1	HBV-A	Uganda	2023
OZ222017.1	HBV-A	Uganda	2011
OZ222016.1	HBV-A	Uganda	2011
OZ222015.1	HBV-D	Uganda	2023
OZ222014.1	HBV-A	Uganda	2011
OZ222013.1	HBV-A	Uganda	2011
OZ222012.1	HBV-A	Uganda	2023
OZ222011.1	HBV-A	Uganda	2011
OZ222010.1	HBV-A	Uganda	2011
OZ222009.1	HBV-A	Uganda	2023
OZ222008.1	HBV-A	Uganda	2023
OZ222007.1	HBV-A	Uganda	2011
OZ222006.1	HBV-A	Uganda	2011
OZ222005.1	HBV-A	Uganda	2022
OZ222004.1	HBV-A	Uganda	2011
OZ222003.1	HBV-A	Uganda	2011
OZ222002.1	HBV-D	Uganda	2022
OZ222001.1	HBV-A	Uganda	2011
OZ222000.1	HBV-A	Uganda	2023
OZ221999.1	HBV-A	Uganda	2023
OZ221998.1	HBV-A	Uganda	2023
OZ221997.1	HBV-A	Uganda	2011
OZ221996.1	HBV-A	Uganda	2011
OZ221995.1	HBV-A	Uganda	2011
OZ221994.1	HBV-A	Uganda	2023
OZ221993.1	HBV-D	Uganda	2023
OZ221992.1	HBV-A	Uganda	2023
OZ221991.1	HBV-A	Uganda	2023
OZ221990.1	HBV-A	Uganda	2011
OZ221989.1	HBV-A	Uganda	2011
OZ178238.1	HBV-A	Uganda	2023
OZ178237.1	HBV-A	Uganda	2023
OZ178236.1	HBV-A	Uganda	2011
OZ178235.1	HBV-A	Uganda	2023
OZ178234.1	HBV-D	United Kingdom	2018
OZ178233.1	HBV-A	United Kingdom	2018
OZ178232.1	HBV-A	Uganda	2023
OZ178231.1	HBV-E	United Kingdom	2019
OZ178230.1	HBV-A	Uganda	2011
OZ178229.1	HBV-B	United Kingdom	2018
OZ178228.1	HBV-A	Uganda	2023
OZ178227.1	HBV-A	Uganda	2011
OZ178226.1	HBV-A	South Africa	2019
OZ178224.1	HBV-E	United Kingdom	2018
OZ178223.1	HBV-A	South Africa	2020
OZ178222.1	HBV-A	Uganda	2011
OZ178221.1	HBV-D	United Kingdom	2019
OZ178220.1	HBV-A	United Kingdom	2019
OZ178219.1	HBV-A	Uganda	2011
OZ178218.1	HBV-A	Uganda	2011
OZ178217.1	HBV-D	United Kingdom	2018
OZ178216.1	HBV-A	South Africa	2020
OZ178215.1	HBV-A	South Africa	2019
OZ178214.1	HBV-A	Uganda	2011
OZ178212.1	HBV-A	Uganda	2023
OZ178211.1	HBV-D	United Kingdom	2019
OZ178210.1	HBV-A	Uganda	2011
OZ178209.1	HBV-B	United Kingdom	2018
OZ178208.1	HBV-B	United Kingdom	2019
OZ178207.1	HBV-C	United Kingdom	2018
OZ178205.1	HBV-D	Uganda	2023
OZ178203.1	HBV-A	Uganda	2011
OZ178202.1	HBV-A	South Africa	2019
OZ178201.1	HBV-A	South Africa	2019
OZ178200.1	HBV-D	United Kingdom	2018
OZ178199.1	HBV-B	United Kingdom	2019
OZ178198.1	HBV-A	Uganda	2023
OZ178197.1	HBV-A	Uganda	2011
OZ178196.1	HBV-D	United Kingdom	2018
OZ178195.1	HBV-A	Uganda	2011
OZ178194.1	HBV-A	South Africa	2019
OZ178193.1	HBV-C	United Kingdom	2019
OZ178192.1	HBV-D	United Kingdom	2019
OZ178191.1	HBV-A	Uganda	2023
OX344837.1	HBV-C	Lao People's Democratic Republic	2016
OX341769.1	HBV-C	Lao People's Democratic Republic	2017
OR947666.1	HBV-A	Russia	2022
OR947665.1	HBV-A	Russia	2022
OR947664.1	HBV-A	Russia	2022
OR947663.1	HBV-A	Russia	2022
OR947662.1	HBV-A	Russia	2022
OR947661.1	HBV-A	Russia	2022
OR947660.1	HBV-D	Russia	2022
OR947659.1	HBV-D	Russia	2022
OR947658.1	HBV-D	Russia	2022
OR936049.1	HBV-B	Viet Nam	2018
OR936048.1	HBV-B	Viet Nam	2018
OR936047.1	HBV-B	Viet Nam	2018
OR936046.1	HBV-B	Viet Nam	2018
OR936045.1	HBV-B	Viet Nam	2018
OR936044.1	HBV-B	Viet Nam	2018
OR936043.1	HBV-B	Viet Nam	2018
OR936042.1	HBV-B	Viet Nam	2018
OR936041.1	HBV-B	Viet Nam	2018
OR936040.1	HBV-B	Viet Nam	2018
OR936039.1	HBV-B	Viet Nam	2018
OR936038.1	HBV-B	Viet Nam	2018
OR905602.1	HBV-D	Bangladesh	2023
OR833942.1	HBV-C	Myanmar	2023
OR769214.1	HBV-D	Bangladesh	2023
OR769213.1	HBV-D	Bangladesh	2023
OR580950.1	HBV-D	Germany	2018
OR580949.1	HBV-D	Germany	2018
OR580948.1	HBV-B	Germany	2018
OR580947.1	HBV-B	Germany	2018
OR580946.1	HBV-A	Germany	2018
OR580945.1	HBV-A	Germany	2018
OR487153.1	HBV-D	Germany	2023
OR482170.1	HBV-F	China	2021
OR482169.1	HBV-F	China	2021
OR250062.1	HBV-B	French Polynesia	2021
OR250061.1	HBV-B	French Polynesia	2021
OR250060.1	HBV-B	French Polynesia	2019
OR250059.1	HBV-C	French Polynesia	2020
OR250058.1	HBV-C	French Polynesia	2021
OR250057.1	HBV-C	French Polynesia	2020
OR250056.1	HBV-C	French Polynesia	2020
OR250055.1	HBV-C	French Polynesia	2020
OR250054.1	HBV-C	French Polynesia	2020
OR250053.1	HBV-F	French Polynesia	2021
OR250052.1	HBV-F	French Polynesia	2021
OR250051.1	HBV-F	French Polynesia	2021
OR250050.1	HBV-F	French Polynesia	2020
OR250049.1	HBV-F	French Polynesia	2021
OR250048.1	HBV-F	French Polynesia	2021
OR250047.1	HBV-F	French Polynesia	2021
OR250046.1	HBV-F	French Polynesia	2021
OR250045.1	HBV-F	French Polynesia	2021
OR126893.1	HBV-D	Pakistan	2023
OR031236.1	HBV-E	Nigeria	2018
OQ735304.1	HBV-D	Iraq	2023
OQ454917.1	HBV-C	China	2022
OQ454916.1	HBV-C	China	2022
OQ054050.1	HBV-A	Canada	2004
OQ054049.1	HBV-A	Canada	2004
OQ054048.1	HBV-A	Canada	2004
OQ054047.1	HBV-A	Canada	2004
OP933689.1	HBV-D	China	2020
OP796836.1	HBV-B	Viet Nam	2021
OP796835.1	HBV-B	Viet Nam	2021
OP796834.1	HBV-B	Viet Nam	2021
OP796833.1	HBV-B	Viet Nam	2021
OP796832.1	HBV-B	Viet Nam	2021
OP796831.1	HBV-B	Viet Nam	2021
OP796830.1	HBV-B	Viet Nam	2021
OP796829.1	HBV-B	Viet Nam	2021
OP796828.1	HBV-B	Viet Nam	2021
OP796827.1	HBV-B	Viet Nam	2021
OP796826.1	HBV-B	Viet Nam	2021
OP796825.1	HBV-B	Viet Nam	2021
OP796824.1	HBV-B	Viet Nam	2021
OP796823.1	HBV-B	Viet Nam	2021
OP796822.1	HBV-B	Viet Nam	2021
OP796821.1	HBV-B	Viet Nam	2021
OP796820.1	HBV-B	Viet Nam	2021
OP796819.1	HBV-B	Viet Nam	2021
OP796818.1	HBV-B	Viet Nam	2021
OP796817.1	HBV-B	Viet Nam	2021
OP796816.1	HBV-B	Viet Nam	2021
OP796815.1	HBV-B	Viet Nam	2021
OP796814.1	HBV-B	Viet Nam	2021
OP796813.1	HBV-B	Viet Nam	2021
OP796812.1	HBV-B	Viet Nam	2021
OP796811.1	HBV-B	Viet Nam	2021
OP796810.1	HBV-B	Viet Nam	2021
OP796809.1	HBV-B	Viet Nam	2021
OP796808.1	HBV-B	Viet Nam	2021
OP796807.1	HBV-B	Viet Nam	2021
OP796806.1	HBV-B	Viet Nam	2021
OP796805.1	HBV-B	Viet Nam	2021
OP796804.1	HBV-B	Viet Nam	2021
OP796803.1	HBV-B	Viet Nam	2021
OP796802.1	HBV-B	Viet Nam	2021
OP796801.1	HBV-B	Viet Nam	2021
OP796800.1	HBV-B	Viet Nam	2021
OP324547.1	HBV-B	Taiwan, Province of China	2010
OP256019.1	HBV-D	Russia	2019
OP256018.1	HBV-D	Russia	2019
OP256017.1	HBV-D	Russia	2019
OP256016.1	HBV-A	Russia	2019
OP256015.1	HBV-A	Russia	2019
OP256014.1	HBV-D	Russia	2019
OP256013.1	HBV-D	Russia	2019
OP256012.1	HBV-D	Russia	2019
OP256011.1	HBV-D	Russia	2019
OP256010.1	HBV-D	Russia	2019
OP256009.1	HBV-D	Russia	2019
OP256008.1	HBV-D	Russia	2019
OP256007.1	HBV-D	Russia	2019
OP256006.1	HBV-D	Russia	2019
OP256005.1	HBV-D	Russia	2019
OP256004.1	HBV-D	Russia	2019
OP256003.1	HBV-D	Russia	2019
OP256002.1	HBV-D	Russia	2019
OP256001.1	HBV-D	Russia	2019
OP256000.1	HBV-D	Russia	2019
OP255999.1	HBV-D	Russia	2019
OP255998.1	HBV-D	Russia	2019
OP154008.1	HBV-D	Russia	2020
OP154007.1	HBV-D	Russia	2020
OP154006.1	HBV-D	Russia	2020
OP154005.1	HBV-D	Russia	2020
OP154004.1	HBV-D	Russia	2020
OP154003.1	HBV-D	Russia	2020
OP154002.1	HBV-D	Russia	2020
OP154001.1	HBV-D	Russia	2020
OP154000.1	HBV-D	Russia	2020
OP153999.1	HBV-D	Russia	2020
OP153998.1	HBV-D	Russia	2020
OP153997.1	HBV-D	Russia	2020
OP153996.1	HBV-D	Russia	2020
OP153995.1	HBV-D	Russia	2020
OP153994.1	HBV-D	Russia	2020
OP153993.1	HBV-D	Russia	2020
OP153992.1	HBV-D	Russia	2020
OP153991.1	HBV-D	Russia	2020
OP153990.1	HBV-D	Russia	2020
OP153989.1	HBV-D	Russia	2020
OP153988.1	HBV-D	Russia	2020
OP153987.1	HBV-D	Russia	2020
OP153986.1	HBV-D	Russia	2020
OP153985.1	HBV-D	Russia	2020
OP153984.1	HBV-D	Russia	2020
OP153983.1	HBV-D	Russia	2020
OP153982.1	HBV-C	Russia	2020
OP153981.1	HBV-C	Russia	2020
OP153980.1	HBV-C	Russia	2020
OP153979.1	HBV-C	Russia	2020
OP153978.1	HBV-D	Russia	2020
OP153977.1	HBV-D	Russia	2020
OP153976.1	HBV-D	Russia	2020
OP153975.1	HBV-D	Russia	2020
OP153974.1	HBV-D	Russia	2020
OP153973.1	HBV-D	Russia	2020
OP153972.1	HBV-D	Russia	2020
OP153971.1	HBV-D	Russia	2020
OP153970.1	HBV-D	Russia	2020
OP153969.1	HBV-D	Russia	2020
OP153968.1	HBV-D	Russia	2020
OP153967.1	HBV-D	Russia	2020
OP153966.1	HBV-D	Russia	2020
OP153965.1	HBV-D	Russia	2020
OP153964.1	HBV-D	Russia	2020
OP153963.1	HBV-D	Russia	2020
OP153962.1	HBV-D	Russia	2020
OP153961.1	HBV-D	Russia	2020
OP153960.1	HBV-D	Russia	2020
OP153959.1	HBV-D	Russia	2020
OP153958.1	HBV-D	Russia	2020
OP153957.1	HBV-D	Russia	2020
OP153956.1	HBV-D	Russia	2020
OP153955.1	HBV-D	Russia	2020
OP153954.1	HBV-D	Russia	2020
OP153953.1	HBV-D	Russia	2020
OP153952.1	HBV-D	Russia	2020
OP153951.1	HBV-D	Russia	2020
OP153950.1	HBV-D	Russia	2020
OP153949.1	HBV-D	Russia	2020
OP153948.1	HBV-D	Russia	2020
OP153947.1	HBV-D	Russia	2020
OP153946.1	HBV-D	Russia	2020
OP153945.1	HBV-D	Russia	2020
OP153944.1	HBV-D	Russia	2020
OP153943.1	HBV-D	Russia	2020
OP153942.1	HBV-D	Russia	2020
OP153941.1	HBV-D	Russia	2020
OP153940.1	HBV-D	Russia	2020
OP121186.1	HBV-D	Tunisia	2018
OP009532.1	HBV-E	Nigeria	2018
OP009531.1	HBV-E	Nigeria	2018
OP009530.1	HBV-E	Nigeria	2018
OP009529.1	HBV-E	Nigeria	2018
OP009528.1	HBV-E	Nigeria	2018
ON585704.1	HBV-D	Brazil	2018
ON585703.1	HBV-D	Brazil	2018
ON585702.1	HBV-A	Brazil	2019
ON585701.1	HBV-F	Brazil	2019
ON585700.1	HBV-A	Brazil	2015
ON585699.1	HBV-F	Brazil	2018
ON585698.1	HBV-A	Brazil	2018
ON528578.1	HBV-E	Nigeria	2018
ON402785.1	HBV-E	Guinea	2019
ON402784.1	HBV-E	Guinea	2019
ON402783.1	HBV-C	Viet Nam	2018
ON402782.1	HBV-C	Viet Nam	2018
ON402781.1	HBV-B	Viet Nam	2018
ON402780.1	HBV-C	Viet Nam	2018
ON402779.1	HBV-C	Viet Nam	2018
ON402778.1	HBV-B	Viet Nam	2018
ON402777.1	HBV-C	Viet Nam	2018
ON402776.1	HBV-C	Viet Nam	2018
ON402775.1	HBV-B	Viet Nam	2018
ON402774.1	HBV-C	Viet Nam	2018
ON245426.1	HBV-E	Nigeria	2018
OM732335.1	HBV-C	China	2017
OM732334.1	HBV-C	China	2017
OM732333.1	HBV-C	China	2017
OM721316.1	HBV-D	Iraq	2021
OM721315.1	HBV-D	Iraq	2021
OM721314.1	HBV-D	Iraq	2021
OM721313.1	HBV-D	Iraq	2021
OM721312.1	HBV-D	Iraq	2021
OM721311.1	HBV-D	Iraq	2021
OM721310.1	HBV-D	Iraq	2021
OM688318.1	HBV-C	China	2017
OM688317.1	HBV-C	China	2017
OM688316.1	HBV-B	China	2017
OM688315.1	HBV-B	China	2017
OM688314.1	HBV-B	China	2017
OM688313.1	HBV-C	China	2017
OM688312.1	HBV-C	China	2017
OM669697.1	HBV-C	China	2017
OM669696.1	HBV-C	China	2016
OM669695.1	HBV-C	China	2016
OM669694.1	HBV-C	China	2015
OM669693.1	HBV-C	China	2015
OM669692.1	HBV-C	China	2015
OM669691.1	HBV-C	China	2015
OM669690.1	HBV-C	China	2015
OM669689.1	HBV-C	China	2015
OM669688.1	HBV-C	China	2017
OM669687.1	HBV-C	China	2015
OM669686.1	HBV-C	China	2015
OM669685.1	HBV-C	China	2015
OM669684.1	HBV-C	China	2015
OM669683.1	HBV-C	China	2015
OM669682.1	HBV-C	China	2015
OM669681.1	HBV-C	China	2015
OM669680.1	HBV-B	China	2015
OM669679.1	HBV-B	China	2016
OM669678.1	HBV-B	China	2016
OM669677.1	HBV-B	China	2015
OM669676.1	HBV-B	China	2015
OM669675.1	HBV-B	China	2016
OM669674.1	HBV-B	China	2016
OM669673.1	HBV-B	China	2017
OM669672.1	HBV-B	China	2015
OM669671.1	HBV-B	China	2015
OM669670.1	HBV-B	China	2015
OM669669.1	HBV-B	China	2015
OM669668.1	HBV-B	China	2016
OM669667.1	HBV-B	China	2015
OM669666.1	HBV-B	China	2015
OM669665.1	HBV-B	China	2016
OM669664.1	HBV-B	China	2017
OM669663.1	HBV-B	China	2015
OM669662.1	HBV-B	China	2016
OM669661.1	HBV-B	China	2015
OM669660.1	HBV-B	China	2017
OM669659.1	HBV-B	China	2015
OM669658.1	HBV-B	China	2015
OM669657.1	HBV-B	China	2017
OM669656.1	HBV-B	China	2015
